Nombre,Módulo,Estado,Progreso,Prioridad,Responsable,Dependencias,Qué falta,Evidencia,Observaciones
"Arquitectura base del sistema (Gateway, multi-tenant, Cloudflare)","Arquitectura e Infraestructura","⚠️ Parcialmente implementado",30%,Alta,DevOps / Backend,Ninguna,"Sin WAF/CDN/rate limiting (Cloudflare u otro) | Sin API Gateway dedicado, backend expuesto directo | infra/architecture.md documenta AWS como objetivo, no Cloudflare","backend/routers/tenants.py (resolve_tenant); frontend/src/contexts/TenantContext.tsx; backend/server.py (solo CORSMiddleware); infra/architecture.md (arquitectura objetivo AWS, no construida)","El ruteo multi-tenant a nivel de aplicación funciona y está probado (test_organizers.py); la capa de infraestructura (Cloudflare/WAF/CDN) no existe en el código."
"Almacenamiento de imágenes (Imgur)","Arquitectura e Infraestructura","❌ Pendiente",0%,Media,Backend,"Arquitectura base del sistema","Integración con Imgur o servicio externo equivalente | Migrar de disco local a almacenamiento externo | Actualizar referencias de URL en eventos/micrositios","backend/routers/events.py (upload_poster/upload_banner escriben a disco local); backend/services/assets.py::open_event_asset; grep ""imgur"" = 0 resultados en todo el repo","infra/architecture.md menciona S3 como reemplazo futuro, pero no hay ningún código de integración externa; todo se sirve desde backend/event_assets y backend/microsite_assets."
"Registro y verificación de organizador","Onboarding y Perfil del Organizador","⚠️ Parcialmente implementado",55%,Alta,Full-Stack,Ninguna,"Sin campos UAFE/PEP en el registro | Sin campos de redes sociales en el flujo de KYC | Sin checkbox de declaración jurada de permisos legales","frontend/src/pages/marketing/Register.tsx; backend/orm_models.py::Organizer/OrganizerDocument; backend/services/required_documents.py, document_types.py; frontend/src/pages/organizer/Onboarding.tsx","Existe un pipeline de documentos KYC genérico sólido (carga, revisión, resubmisión); falta lo específico regulatorio de Ecuador (UAFE/PEP) y la declaración jurada."
"Selección y aprobación de plan","Onboarding y Perfil del Organizador","✅ Completado",95%,Alta,Full-Stack,"Registro y verificación de organizador; Definición de precios de planes","Los precios de los planes aún son placeholder (ver ticket Definición de precios de planes)","frontend Register.tsx/Onboarding.tsx::choosePlan; backend/routers/admin.py::approve_organizer/reject_organizer/suspend_organizer (comment obligatorio); backend/audit.py::log_audit; backend/tests/integration/test_admin.py","Uno de los tickets mejor implementados: backend + frontend + validación + auditoría + tests end-to-end."
"Generación automática de subdominio y micrositio base","Micrositio","⚠️ Parcialmente implementado",40%,Alta,DevOps / Backend,"Selección y aprobación de plan; Arquitectura base del sistema","Sin aprovisionamiento real de DNS (Route53/Cloudflare) | Sin automatización de SSL wildcard | La disponibilidad ""inmediata con SSL válido"" depende de infraestructura externa no codificada","backend/routers/admin.py::approve_organizer (activa tenant + crea micrositio); backend/slugs.py; backend/routers/tenants.py; backend/services/microsite_factory.py::default_microsite","La parte de aplicación (slug, activación de tenant, micrositio por defecto) es real; la infraestructura DNS/SSL no existe en ningún código del repo."
"Editor visual de micrositio","Micrositio","⚠️ Parcialmente implementado",35%,Alta,Frontend,"Generación automática de subdominio y micrositio base","Solo existen 3 plantillas de las 45 mínimas requeridas (~93% de brecha) | Sin variantes ""con/sin blog"" o ""cronológico"" | Sin generador de plantillas adicionales","frontend/src/pages/organizer/MicrositeEditor.tsx (preview en vivo, autosave, upload logo/banner); frontend/src/lib/microsite.ts::TEMPLATE_OPTIONS (estandar/galeria/evento_unico); backend/services/microsite_factory.py::TEMPLATES; backend/tests/integration/test_microsite.py","La mecánica del editor (preview, autosave, carga de assets, publicar) funciona bien; la brecha es exclusivamente el catálogo de plantillas, que es el criterio de aceptación principal del ticket."
"Dominio propio para organizador (fase futura)","Micrositio","❌ Pendiente",5%,Baja,DevOps / Backend,"Editor visual de micrositio","Sin UI para vincular/verificar dominio propio | Sin endpoint backend de registro de dominio | Sin integración DNS/ACM/CloudFront/Cloudflare for SaaS","backend/orm_models.py::SubscriptionPlan.includes_custom_domain (flag, solo plan Enterprise); backend/services/plan_features.py (""custom_domain"")","Correctamente marcado como fase futura; solo existe el flag de entitlement del plan, sin ninguna implementación funcional."
"Definición del dominio del micrositio","Definiciones Pendientes","❌ Pendiente",0%,Alta,Producto / Cliente,Ninguna,"Confirmación por escrito del cliente: {slug}.ticketyourself.com vs. dominio propio","N/A — decisión de negocio, no de código. frontend/src/lib/config.ts usa PUBLIC_DOMAIN como default implícito, sin que exista un registro de decisión formal.","Bloquea a ""Generación automática de subdominio"" y ""Dominio propio para organizador"" hasta resolverse; no requiere desarrollo, requiere decisión del cliente."
"Wizard de creación de eventos","Eventos","⚠️ Parcialmente implementado",75%,Alta,Full-Stack,Ninguna,"El guardado de borrador requiere fecha completa; no se puede guardar desde el primer paso | Sin autosave/debounce, solo guardado manual por paso | Sin columna de ""último paso completado"" para resumibilidad formal","frontend/src/components/events/EventWizard.tsx (11 pestañas: info/media/contenido/venue/tipos_ticket/funciones/abono/diseño/pagos/descuentos/acceso); backend/routers/events.py (create/update con status=""draft""); frontend/e2e/tests/event-wizard.spec.ts","Implementación robusta con CRUD real y resumibilidad por URL, pero no coincide 100% con el ""guardado progresivo desde la primera etapa"" descrito en el documento."
"Tipos de evento (único, multifunción, subeventos, franjas horarias, abono de temporada)","Eventos","✅ Completado",90%,Alta,Full-Stack,"Wizard de creación de eventos","Sin test dedicado para conflictos de horario en functions.py | ""Evento único"" es un estado implícito, no un valor de enum explícito","backend/orm_models.py::Event.is_multi_function/multi_function_mode, EventFunction, FunctionTicketType; backend/routers/functions.py::_check_schedule_conflict; orm_models.py::SeasonPass/SeasonPassPurchase/SeasonPassRedemption; backend/routers/season_passes.py; backend/tests/integration/test_season_passes.py","Contrario a lo que indica CLAUDE.md (Fase 8 marcada como pendiente), el código muestra la funcionalidad completa end-to-end con tests; la documentación interna está desactualizada en este punto."
