Nombre,Descripción,Módulo,Prioridad,Estado,Responsable,Dependencias,Criterios de aceptación
"Arquitectura base del sistema (Gateway, multi-tenant, Cloudflare)","Implementar arquitectura de 3 capas (Clientes, API Gateway, Backend) con Cloudflare (WAF, CDN, rate limiting) y ruteo multi-tenant por subdominio/slug.","Arquitectura e Infraestructura",Alta,Pendiente,DevOps / Backend,Ninguna,"Cloudflare configurado con WAF/CDN/rate limiting; las peticiones se enrutan correctamente por subdominio al tenant correcto."
"Almacenamiento de imágenes (Imgur)","Integrar Imgur (o servicio equivalente) para almacenar fotos de eventos y portadas de micrositios.","Arquitectura e Infraestructura",Media,Pendiente,Backend,"Arquitectura base del sistema","Las imágenes subidas se almacenan y sirven vía Imgur; las URLs quedan asociadas correctamente al evento/micrositio."
"Registro y verificación de organizador","Formulario de registro (persona natural/empresa) con RUC/cédula, redes sociales, formulario UAFE/PEP y carga de documentos habilitantes con declaración jurada de permisos legales.","Onboarding y Perfil del Organizador",Alta,Pendiente,Full-Stack,Ninguna,"El organizador completa el registro y carga sus documentos; el disclaimer de responsabilidad legal debe aceptarse antes de continuar."
"Selección y aprobación de plan","Selección de plan (Evento Único / Básico / Profesional / Enterprise) durante el registro, con flujo de aprobación o rechazo por super_admin con justificación escrita.","Onboarding y Perfil del Organizador",Alta,Pendiente,Full-Stack,"Registro y verificación de organizador; Definición de precios de planes","El super-admin aprueba o rechaza con justificación; el organizador ve su estado (pendiente/activo/suspendido/rechazado) en su panel."
"Generación automática de subdominio y micrositio base","Al aprobar un organizador, generar automáticamente su subdominio {slug}.ticketyourself.com con SSL wildcard vía DNS (Cloudflare/AWS Route 53).","Micrositio",Alta,Pendiente,DevOps / Backend,"Selección y aprobación de plan; Arquitectura base del sistema","El subdominio queda accesible con SSL válido inmediatamente después de aprobar al organizador."
"Editor visual de micrositio","Editor con mínimo 45 plantillas (con/sin blog, cronológico, galería, minimal) con vista previa en vivo para personalizar logo, portada y diseño.","Micrositio",Alta,Pendiente,Frontend,"Generación automática de subdominio y micrositio base","El organizador elige plantilla, sube logo/portada y ve los cambios en vista previa antes de publicar."
"Dominio propio para organizador (fase futura)","Permitir a los organizadores usar su propio dominio (Cloudflare for SaaS o AWS ACM + CloudFront) en lugar del subdominio TYS.","Micrositio",Baja,Pendiente,DevOps / Backend,"Editor visual de micrositio","El organizador vincula un dominio propio y el tráfico se sirve correctamente con SSL válido."
"Definición del dominio del micrositio","Definir con el cliente si el dominio final será {slug}.ticketyourself.com o un dominio propio tipo TYS.com; requiere definición.","Definiciones Pendientes",Alta,Pendiente,Producto / Cliente,Ninguna,"El cliente confirma por escrito la opción de dominio elegida antes de iniciar el desarrollo del micrositio."
"Wizard de creación de eventos","Formulario multi-paso para crear eventos: información general, ubicación, tipo de recaudación (gratuito/pagado/donación), tickets, venue, media, descuentos y revisión, con guardado progresivo por etapas.","Eventos",Alta,Pendiente,Full-Stack,Ninguna,"El organizador crea un evento completo guardando avances por etapa y puede retomarlo días después sin perder datos."
"Tipos de evento (único, multifunción, subeventos, franjas horarias, abono de temporada)","Soportar los 5 modelos de evento definidos en el documento: evento único, multifunción, evento con subeventos, franjas horarias diarias y abono de temporada con selección flexible de funciones.","Eventos",Alta,Pendiente,Full-Stack,"Wizard de creación de eventos","Es posible crear y vender de forma completa un evento de cada uno de los 5 tipos definidos."
"Validación de conflictos de fecha/hora/lugar","Bloquear la creación de eventos duplicados con la misma fecha, hora y lugar; mostrar advertencia (no bloqueo) en casos límite como mismo día o diferencia de minutos.","Eventos",Media,Pendiente,Backend,"Wizard de creación de eventos","El sistema impide crear un evento idéntico en fecha/hora/lugar y muestra advertencia en los casos límite descritos."
